gene_ID	log10_9am	pvalue_9am	log10_9pm	pvalue_9pm
AT1G14310	0.010932599	0.185530142	0.000804623	0.468407737
AT1G14320	0.016560096	0.188090269	-0.006187114	0.331422138
AT1G14345	0.008629054	0.114269797	0.131913233	0.000186985
AT1G14410	0.029915242	0.046191016	-0.036229475	1
AT1G14610	0.00563615	0.206105303	-0.015211279	0.210053831
AT1G14650	0.098530436	0.014396951	0.006331908	1
AT1G14670	0.026168127	0.187021758	-0.057567307	0.062184593
AT1G14690	0.092749135	0.0399552	0.000804623	0.468407737
AT1G14740	0.010932599	0.185530142	0.000804623	0.468407737
AT1G14810	0.004730169	0.309643139	-0.007009502	0.211086092
AT1G14830	-0.004118697	0.410616007	-0.022368241	0.222154398
AT1G14850	0.101771205	1	0.015954569	1
AT1G14910	0.010932599	0.185530142	0.110905918	1
AT1G14980	0.035078949	0.049531994	-0.028176121	0.180565626
AT1G15000	0.122999576	1	0.037941086	1
AT1G15060	0.111864376	1	-0.094269056	1
AT1G15120	-0.010602969	0.251178705	-0.032316126	0.190299497
AT1G15130	0.050400584	1	0.037776268	1
AT1G15140	0.021348566	0.007243068	0.002167655	0.428035913
AT1G15200	0.010932599	0.185530142	0.070673779	1
AT1G15210	0.026760065	0.0359947	0.010629395	0.253015043
AT1G15240	-0.14133289	1	0.000804623	0.468407737
AT1G15250	0.010932599	0.185530142	0.000804623	0.468407737
AT1G15270	0.010932599	0.185530142	0.000804623	0.468407737
AT1G15280	0.010932599	0.185530142	0.000804623	0.468407737
AT1G15290	-0.011004068	0.290058485	0.038867034	0.068623111
AT1G15310	0.106684921	1	0.000804623	0.468407737
AT1G15340	-0.004572733	0.169139023	-0.00049891	0.458880022
AT1G15390	0.157552323	1	0.000804623	0.468407737
AT1G15500	0.15166081	0.000218283	-0.007454612	0.422849597
AT1G15520	0.126201233	1	0.000804623	0.468407737
AT1G15690	0.007805764	0.306047356	-0.015268852	0.101100123
AT1G15710	0.027867708	1	0.094078092	0.042651918
AT1G15730	0.010575221	0.155837972	0.014695894	0.212542194
AT1G15750	0.009658282	0.343584708	-0.00846221	0.302941554
AT1G15790	0.010932599	0.185530142	0.064681793	1
AT1G15820	-0.006051123	0.122952123	0.018290084	0.17079833
AT1G15880	0.11453753	1	0.000804623	0.468407737
AT1G15930	0.004588685	0.335727014	0.009128085	0.357069131
AT1G15950	0.003839257	0.439840426	-0.000197541	0.493795579
AT1G15980	0.001296889	0.448710084	0.010707189	0.321805484
AT1G16030	0.000847906	0.468152569	-0.001059243	0.453491466
AT1G16060	0.010932599	0.185530142	0.044146745	1
AT1G16080	-0.009440585	0.067337454	-0.006011232	0.149409398
AT1G16210	0.049118405	1	0.000804623	0.468407737
AT1G16240	-0.082081255	1	-0.009569117	1
AT1G16260	0.010932599	0.185530142	0.120009324	0.014762463
AT1G16340	0.006327024	0.156153375	-0.003648722	0.395376398
AT1G16350	-0.00548936	0.406615969	-0.007550138	0.377331916
AT1G16400	0.123682338	0.025355441	-0.01706065	0.37989201
AT1G16410	-0.003757038	0.226747115	-0.040310183	0.137795483
AT1G16460	-0.003070549	0.390932547	0.005215426	0.40308538
AT1G16470	-0.000376042	0.485454132	-0.003443017	0.360816655
AT1G16700	0.000872479	0.46438279	-0.018826027	1
AT1G16720	0.008272769	0.321254432	-0.003867422	0.258038431
AT1G16780	0.147566127	1	0.000804623	0.468407737
AT1G16800	-0.105593185	1	-0.11140681	1
AT1G16880	0.014006345	0.068458596	0.009391086	0.080016273
AT1G16890	0.003316575	0.309798495	0.002822753	1
AT1G16920	-0.063739932	0.003427241	-0.009683931	0.214083307
AT1G17050	-0.013469422	0.269529307	-0.011824424	0.267258791
AT1G17100	0.002609288	0.337473648	-0.002251049	0.468229938
AT1G17160	0.125199664	0.005043153	0.010703332	0.3290575
AT1G17170	0.010932599	0.185530142	0.000804623	0.468407737
AT1G17220	0.010820128	0.097269419	-0.003955829	0.360080313
AT1G17260	0.020821474	0.199483305	-0.000834687	0.484408582
AT1G17290	0.006436038	0.07260588	-0.005676599	0.366411169
AT1G17370	-0.010201204	1	0.12676008	0.008791916
AT1G17420	0.010932599	0.185530142	0.01715541	1
AT1G17470	-0.012800931	0.103522855	0.01819377	0.247495033
AT1G17520	0.010932599	0.185530142	-0.142630107	1
AT1G17580	0.007681925	0.404743397	-0.005173529	1
AT1G17650	-0.008886234	0.24894699	-0.007294874	0.130745337
AT1G17720	0.010932599	0.185530142	0.083226316	1
AT1G17745	0.017581919	0.037480198	-0.029658495	0.132101872
AT1G17840	0.116494392	1	0.000804623	0.468407737
AT1G17860	-0.110014689	1	-0.002828964	1
AT1G17880	-0.009978087	0.366063104	-0.021967365	0.160586073
